credit_model,instrument,initial_price,fair_price,fair_to_par,mean_ann_return,median_ann_return,prob_negative_return,risk_mean,risk_std,risk_skew,risk_sharpe,risk_sortino,risk_omega,risk_var_95,risk_var_99,risk_es_95,risk_es_99,risk_max_drawdown,risk_calmar,risk_mean_total_return,risk_prob_capital_loss,risk_pv_floored_paths,fair_price_lo,fair_price_hi,fair_price_ci_width,insurance,premium_weight,scenario,n_paths
gaussian_copula,senior,12600000.0,11827444.845361575,0.9386860988382203,-0.006319736652178661,-0.005858182315894522,1.0,-0.006319736652178661,0.0016686194031018836,-5.620298775144687,-26.146594654175257,-0.99926944161302,0.0,0.008923544875703612,0.014645683842447032,0.012462328978073424,0.018157136080683152,0.0,,-0.061313901161779906,1.0,0.0,11825815.417588532,11829091.024330266,3275.606741733849,option_theoretic,0.0005751941600584123,paris_intermediate,50000
student_t_copula,model_a,450000.0,437066.6836835031,0.9712592970744514,-0.0038832046756887054,-0.003575927428156933,0.59962,-0.0038832046756887054,0.014701784032809957,-0.10128276571721831,-2.8018492923429097,-0.9418274977391174,0.5124258648636727,0.028591689328759416,0.039088889717935456,0.035021134718095655,0.04461763780634841,0.7061159006578092,-0.005499387100716976,-0.028740702925548704,0.59962,0.0,436516.88879731897,437572.6318055016,1055.743008182617,option_theoretic,0.0,paris_intermediate,50000
student_t_copula,model_b,450000.0,433974.7521905739,0.9643883382012753,-0.004561134442975784,-0.004358774086164474,0.6201,-0.004561134442975784,0.014463541295131027,-0.08014600121707482,-2.8948728462433326,-0.9452065001056293,0.4499102745286047,0.028727203943111235,0.03887624979003454,0.03508993973402782,0.04443737036039795,0.0,,-0.035611661798724825,0.6201,0.0,433431.8740559223,434489.41966754425,1057.5456116219284,option_theoretic,0.0,paris_intermediate,50000
student_t_copula,equity,7875000.0,9940225.936882563,1.2622509126200079,0.014725313811531374,0.02096789019910883,0.31132,0.014725313811531374,0.05378068196787286,-5.7399567119428,-0.41992150108430504,-0.4031696316771459,2.2110647822978184,0.0659662244772944,0.1251221939409174,0.11832551195178034,0.24215437877446894,4153892.8584478707,3.544943096349766e-09,0.26225091262000805,0.31132,46.0,9906373.342975626,9974101.849189628,67728.50621400215,option_theoretic,0.8031887778254378,paris_intermediate,50000
student_t_copula,mezzanine,11025000.0,8673278.865045767,0.7866919605483689,-0.024191197525054522,-0.02238878815698042,0.9997,-0.024191197525054522,0.010321151999911548,-0.4249747749795604,-5.958654231465606,-0.9862086217040528,1.2491446799538085e-05,0.043607620115011146,0.04651016539407786,0.04541758564689563,0.04687007917370758,0.0,,-0.21330803945163118,0.9997,0.0,8665659.230063574,8680675.320465151,15016.090401576832,option_theoretic,0.19514223311891668,paris_intermediate,50000
student_t_copula,senior,12600000.0,11764727.85141184,0.9337085596358603,-0.00688033677513301,-0.00589807415422805,1.0,-0.00688033677513301,0.003204213307859274,-4.644268562985088,-13.791002983341931,-0.9973814482024232,0.0,0.012653362004941214,0.02329843963341951,0.0189854060155275,0.027975207527827877,0.0,,-0.06629144036413971,1.0,0.0,11761782.509464292,11767848.601583298,6066.09211900644,option_theoretic,0.0016689890556455195,paris_intermediate,50000
cox_intensity,model_a,450000.0,407426.861852573,0.905393026339051,-0.010837197474285598,-0.010724398478404062,0.77462,-0.010837197474285598,0.014456527803730409,-0.04605791458829575,-3.3304107764161706,-0.9577600218958678,0.1471211138993167,0.0350371358967766,0.04490548611925834,0.041088835839655176,0.049997057669359704,44.05721634047107,-0.0002459800771464202,-0.09460697366094886,0.77462,0.0,406894.8727568762,407927.707949924,1032.8351930477656,option_theoretic,0.0,paris_intermediate,50000
cox_intensity,model_b,450000.0,396699.1924557715,0.8815537610128256,-0.013409999238896651,-0.013384519120574645,0.8329,-0.013409999238896651,0.013917552530565794,-0.0052155166219741995,-3.6442454691890367,-0.9643532027839672,0.08503490664750384,0.03655536602692409,0.045770780193422525,0.04218692783133134,0.050452815143287054,16.11343551336194,-0.0008322247125869908,-0.11844623898717442,0.8329,0.0,396220.7656814708,397189.3600300512,968.5943485804019,option_theoretic,0.0,paris_intermediate,50000
cox_intensity,equity,7875000.0,10408510.11970906,1.3217155707567059,0.02124951066064843,0.025935607198396715,0.25838,0.02124951066064843,0.04512283155494755,-4.484413144048337,-0.3559055870111697,-0.35924656933401206,3.514951017354748,0.051215411548566826,0.09961940341785656,0.08842925595453344,0.1666373767168148,2613890.278246164,8.129457780801024e-09,0.321715570756706,0.25838,20.0,10375344.21374735,10441125.801935691,65781.58818834089,option_theoretic,0.5053854280112008,paris_intermediate,50000
cox_intensity,mezzanine,11025000.0,6058696.294877494,0.5495416140478452,-0.05815539226246544,-0.05860643170448121,1.0,-0.05815539226246544,0.003060168889837526,0.9624889111215611,-31.195785007915728,-0.999486624727015,0.0,0.062289164405848994,0.06332214892942854,0.06292066346345669,0.06373404718835268,1938548.9172086448,-2.999944533058498e-08,-0.45045838595215476,1.0,0.0,6057025.478346963,6060433.034316398,3407.5559694347903,option_theoretic,0.49355267217714033,paris_intermediate,50000
